Nu	Nd	a	b	c	kt2	Nu_err	Nd_err	a_err	b_err	c_err	kt2_err	chi2	ndof	edm
0.9445555388557019	-1.0583142779705916	1.1505066193411515	2.644675313034807	-0.8740981951769511	0.2560618218340807	0.17689094164796226	0.19763384416943777	0.041117561393054135	0.19135426185402057	0.11997140047978286	0.004666947842380843	1650.7807018540616	1800	0.010939918529250817
0.40039686114195044	-0.44524682320117864	1.0011524557158709	3.0398303008311625	-0.009290810319236087	0.2478949316866169	0.02347663396597585	0.025665261833690133	0.026582013370292017	0.12488706431817845	0.08904175272243192	0.004734388457077855	1608.4903281856896	1800	3.361203068853374e-07
0.9099868413883585	-1.0044395660447276	1.151668523581824	2.7699137779088456	-0.8533832964565936	0.2576876433419935	0.21050772174234847	0.22938978903317794	0.04825691358402712	0.20902249920141394	0.15365849348971422	0.004733045217037688	1673.1599325953239	1800	0.0009546972084149509
0.402023435331855	-0.45032142768792754	1.0123487393032644	3.039358685895794	0.004719916981256992	0.25135443378725236	0.023356034017697015	0.025711141156754415	0.02643067034877367	0.12356660413918773	0.08883510825539445	0.004669616727741864	1686.9567618694286	1800	3.7533046685198616e-05
0.2426335671048654	-0.2687362300879382	0.9534156984127753	3.15179158128451	1.0494490817566824	0.2527889917892475	0.13140529266817588	0.14548357204572837	0.07267770995083407	0.12419118016562355	1.4089224031033358	0.004733659674437417	1770.5527050010537	1800	8.068687109470546e-05
0.9941056536000485	-1.1247084347687257	1.1520687504779714	2.5401030579201405	-0.9060017608403174	0.2522262612996796	0.1756220555865379	0.19909365049874325	0.04089103095063184	0.1794252974639297	0.10608970593660749	0.004493855062003579	1593.9616956282393	1800	0.0041963858191601516
0.2410152652965157	-0.2685282957138588	0.9341172013381953	3.063460717855872	1.0401714769724941	0.24811312746692696	0.0918584365943063	0.10235825136527578	0.05506681632842533	0.12433663154757324	0.9879204584994902	0.004896317460839308	1630.4557592868016	1800	0.00013381261914616432
0.40042638992183904	-0.4492628141814199	1.0026059106387728	3.0219952338154505	-0.0006752902954281928	0.25423937387981804	0.023367643102721027	0.02576733937537222	0.026405734267822875	0.1237665203380302	0.08898758147076045	0.004704084999133414	1593.4919960301354	1800	6.755215495208359e-06
1.1399842327406742	-1.2834041528234768	1.1767968298805684	2.4660523310885374	-0.9855348527582632	0.24650689955554117	0.11064841046191237	0.13008313432526883	0.03037260170750058	0.1708813457796864	0.05064029140780772	0.004391841806009445	1600.4934670491402	1800	0.011270768779445054
1.0506275885697762	-1.1816658062528331	1.1400234007022145	2.448705859134161	-0.94771030172187	0.24691171526063638	0.16910811457062616	0.19604815526663705	0.03483165238062537	0.1980838881961848	0.09031410954069626	0.004542309969773861	1585.7188441608632	1800	0.023855790564882035
0.39691224584981677	-0.4502708375841376	0.9926988285885439	2.969459006470485	-0.0033645054365294266	0.2426691295553004	0.023081128453825164	0.025724129349193152	0.026237997108535784	0.12225676856650416	0.08839021079021801	0.004591784620772394	1619.5728458167218	1800	6.885875501005743e-05
0.972849650027001	-1.103936756709847	1.1513260998591845	2.6369546871887692	-0.9099548012146077	0.2527346905536178	0.2076742104045101	0.23513495974426812	0.04479655290009249	0.22620749485108918	0.13369143716772253	0.004658925159584168	1653.7798276131898	1800	0.012319928991171703
0.39555119629731994	-0.44992258829264625	0.9937600298425543	2.9922433517516707	-0.005387574262691341	0.24977355578426322	0.023116719127817913	0.025827600429108977	0.026512262608870622	0.1242006441602977	0.08879262879621028	0.004749969732062742	1747.0908268400708	1800	4.05220454563741e-05
0.2565697350102479	-0.28297450787108663	0.9774859642836246	3.2966467525287886	0.9090839378137631	0.24967024531764895	0.1032955163352064	0.11401848272546651	0.05866784890102259	0.1256910983505025	0.9929623805859954	0.004713447389515171	1695.934448719253	1800	0.0003848766977539271
1.1368517930661717	-1.2869025461643675	1.1506487540902586	2.3604958995192695	-0.9871823478166767	0.2430060916597552	0.20983590076296718	0.23438933541086915	0.03936047668854344	0.20880683250373444	0.09207974458501116	0.004539759812957983	1750.271966205548	1800	0.009535507097026013
0.4092085023930409	-0.44500342690669403	1.026898738035886	3.0616276520290175	0.0036078138458295766	0.24790846735516786	0.023868481427005338	0.02553999954604528	0.026572582646925205	0.12399909133290009	0.08910853111229532	0.004704417133234985	1769.4098561834767	1800	0.00019175293277217214
0.40563976972986776	-0.44898743712376066	1.0078605783259915	3.0002291363021487	0.004858927661334398	0.2525556587422345	0.023564836536050623	0.02564759197585883	0.026384786504603384	0.12327745375992519	0.08875515183717306	0.004698440393325536	1589.2329455979557	1800	2.539397815897449e-05
0.4004967475687844	-0.4465905991654992	1.0061821580052206	3.117710029895669	-0.006326341697621417	0.2519619854313304	0.02337521039602727	0.025615544814067203	0.026419522535083496	0.12464342592889817	0.0890646208539288	0.004714341429341568	1699.246556025987	1800	0.0001900303483557283
