Q2	x	y	z	pT	obs	target	hadron	value	error
5.2996	0.45401	0.7068661328	0.59447	0.13885	AUTsivers	neutron	pi+	-0.008511390496670653	0.033649
6.1214	0.54619	0.6786822896	0.59455	0.12793	AUTsivers	neutron	pi+	-0.004350721357028044	0.040509
6.8888	0.62232	0.6703310235	0.57989	0.12279	AUTsivers	neutron	pi+	-0.002132155829526004	0.1058
3.5608	0.27218	0.7922292503	0.58837	0.35123	AUTsivers	neutron	pi+	-0.04459895583109244	0.036921
4.4414	0.35342	0.7610063267	0.59344	0.32016	AUTsivers	neutron	pi+	-0.030721509362591416	0.017565
5.3435	0.44725	0.7234940538	0.59506	0.30641	AUTsivers	neutron	pi+	-0.018896435025200168	0.018891
6.1741	0.54148	0.6904794231	0.5938	0.29765	AUTsivers	neutron	pi+	-0.01013769563269728	0.030769
6.9883	0.61737	0.6854653721	0.57533	0.27591	AUTsivers	neutron	pi+	-0.004831892044423325	0.11814
2.5096	0.17779	0.8547845768	0.58602	0.5453	AUTsivers	neutron	pi+	-0.08160719650354832	0.033624
3.4274	0.25384	0.8176439638	0.59287	0.51015	AUTsivers	neutron	pi+	-0.06512590106121761	0.01335
4.4311	0.34737	0.7724648814	0.59528	0.49781	AUTsivers	neutron	pi+	-0.04614578786917897	0.013375
5.3679	0.44351	0.7329266305	0.59669	0.48999	AUTsivers	neutron	pi+	-0.02903886235655081	0.01959
6.2261	0.53184	0.7089157018	0.59178	0.47414	AUTsivers	neutron	pi+	-0.016245550959281426	0.04539
2.4261	0.17026	0.8628902671	0.59419	0.69674	AUTsivers	neutron	pi+	-0.09873266698203435	0.017245
3.3816	0.24811	0.8253486927	0.59574	0.69143	AUTsivers	neutron	pi+	-0.08208263257202922	0.012282
4.4263	0.34321	0.7809809024	0.59818	0.68244	AUTsivers	neutron	pi+	-0.05884049820526181	0.016961
5.3887	0.43717	0.7464369957	0.59849	0.67031	AUTsivers	neutron	pi+	-0.03766165108699144	0.035422
6.2644	0.51796	0.7323905978	0.58153	0.64231	AUTsivers	neutron	pi+	-0.021883950367009453	0.17439
2.4084	0.16873	0.8643622945	0.59695	0.88488	AUTsivers	neutron	pi+	-0.11098397111811541	0.020415
3.3455	0.24336	0.8324752666	0.59966	0.87676	AUTsivers	neutron	pi+	-0.09357782562344986	0.018192
4.4195	0.3376	0.7927389588	0.60309	0.86508	AUTsivers	neutron	pi+	-0.0680724739875177	0.036814
5.361	0.42286	0.7677303392	0.59195	0.84246	AUTsivers	neutron	pi+	-0.04510159607040778	0.15101
4.4706	0.37444	0.7230079603	0.69192	0.16111	AUTsivers	neutron	pi+	-0.017871627055345243	0.10707
5.2825	0.45395	0.7046784444	0.69226	0.13831	AUTsivers	neutron	pi+	-0.01049662684094344	0.050297
6.0776	0.53123	0.6928018237	0.67626	0.12656	AUTsivers	neutron	pi+	-0.0058458373984051175	0.08268
3.598	0.27913	0.7805741146	0.68801	0.35685	AUTsivers	neutron	pi+	-0.05338179128588775	0.083682
4.4462	0.35654	0.7551621875	0.69291	0.32415	AUTsivers	neutron	pi+	-0.03733450471093821	0.027911
5.3266	0.44532	0.7243315227	0.69116	0.3064	AUTsivers	neutron	pi+	-0.0234322845780258	0.028036
6.1299	0.5243	0.7079996348	0.67297	0.28978	AUTsivers	neutron	pi+	-0.013475068059355784	0.070688
2.5837	0.18565	0.842765276	0.68154	0.56224	AUTsivers	neutron	pi+	-0.09651030646899311	0.11043
3.471	0.25946	0.8101094561	0.69165	0.5191	AUTsivers	neutron	pi+	-0.07733268947237164	0.023209
4.432	0.34843	0.7702712928	0.6943	0.50053	AUTsivers	neutron	pi+	-0.05558130392430492	0.019128
5.3261	0.43745	0.7372934862	0.68554	0.48685	AUTsivers	neutron	pi+	-0.035841791394017976	0.030018
6.211	0.51508	0.7302075918	0.66554	0.45453	AUTsivers	neutron	pi+	-0.020829072930788593	0.14779
2.4581	0.17302	0.8603253915	0.69152	0.7097	AUTsivers	neutron	pi+	-0.11522844785470408	0.029908
3.3927	0.24966	0.8229169244	0.69474	0.69564	AUTsivers	neutron	pi+	-0.09634600682920008	0.017446
4.4059	0.34218	0.7797215106	0.69173	0.68456	AUTsivers	neutron	pi+	-0.06981035014140866	0.022434
5.3138	0.42452	0.757995366	0.67481	0.65809	AUTsivers	neutron	pi+	-0.04619910948898357	0.062979
2.4143	0.16931	0.8635115011	0.69569	0.88926	AUTsivers	neutron	pi+	-0.1267887428479482	0.027554
3.352	0.24478	0.8292540116	0.69417	0.88184	AUTsivers	neutron	pi+	-0.10717521558294421	0.022292
4.3343	0.32882	0.7982156612	0.68093	0.85637	AUTsivers	neutron	pi+	-0.07964147169828655	0.049645
4.7421	0.28343	0.8105398653	0.23883	0.18905	AUTsivers	neutron	pi-	-0.0014682836424178762	0.1207
5.8817	0.36178	0.7876038012	0.25503	0.1761	AUTsivers	neutron	pi-	-0.00048594001066136933	0.023689
7.0776	0.45024	0.7615377336	0.26497	0.15951	AUTsivers	neutron	pi-	6.663245803877959e-05	0.015268
8.2553	0.54495	0.733881081	0.27207	0.14305	AUTsivers	neutron	pi-	0.0002544899783547172	0.016896
9.3889	0.64095	0.7096432076	0.27734	0.13138	AUTsivers	neutron	pi-	0.00022051276744824066	0.026317
3.1827	0.17472	0.8824753268	0.23564	0.35042	AUTsivers	neutron	pi-	-0.00601490688153363	0.0077755
4.4157	0.25086	0.8527419548	0.2456	0.33298	AUTsivers	neutron	pi-	-0.0032745530819730537	0.0043398
5.8086	0.34616	0.8129130153	0.25621	0.31401	AUTsivers	neutron	pi-	-0.0010595411929336285	0.004696
7.1107	0.44314	0.7773576762	0.26432	0.30346	AUTsivers	neutron	pi-	7.112730666582821e-05	0.0063806
8.3335	0.54053	0.746890827	0.27082	0.29362	AUTsivers	neutron	pi-	0.0005025634293081814	0.010621
