i,Ebeam,x,y,z,Q2,pT,obs,Nacc,stat_sivers,stat_collins,stat_pretzelosity,systrel,systabs,target,hadron,Experiment
219,11.0,0.097690,0.712575,0.478020,1.395304,1.067869,AUT,5611546.687244,0.004563,0.004288,0.004301,0.070207,0.001146,neutron,pi+,solid
220,11.0,0.127602,0.539449,0.523295,1.414226,0.143004,AUT,19367668.903813,0.002304,0.002287,0.002287,0.070207,0.001204,neutron,pi+,solid
221,11.0,0.166187,0.477775,0.523719,1.635705,0.127952,AUT,18774365.749498,0.002495,0.002478,0.002478,0.070207,0.001281,neutron,pi+,solid
222,11.0,0.204769,0.414622,0.523774,1.746052,0.123598,AUT,19009146.320587,0.002632,0.002615,0.002618,0.070207,0.001359,neutron,pi+,solid
223,11.0,0.256812,0.345614,0.523582,1.826548,0.133966,AUT,5929149.579456,0.005163,0.005100,0.005113,0.070207,0.001461,neutron,pi+,solid
224,11.0,0.085949,0.650869,0.522888,1.151364,0.329219,AUT,18610658.497394,0.002388,0.002297,0.002290,0.070207,0.001129,neutron,pi+,solid
225,11.0,0.103949,0.614345,0.523310,1.317526,0.317170,AUT,19170051.133401,0.002240,0.002219,0.002223,0.070207,0.001160,neutron,pi+,solid
226,11.0,0.118042,0.591696,0.523488,1.441276,0.312028,AUT,18993661.346199,0.002263,0.002265,0.002265,0.070207,0.001186,neutron,pi+,solid
227,11.0,0.131086,0.569373,0.523726,1.540052,0.306778,AUT,19212137.064563,0.002310,0.002308,0.002305,0.070207,0.001212,neutron,pi+,solid
228,11.0,0.144852,0.539480,0.523845,1.612253,0.301717,AUT,19253655.530896,0.002449,0.002405,0.002403,0.070207,0.001239,neutron,pi+,solid
229,11.0,0.161670,0.503645,0.523945,1.679387,0.296626,AUT,19084715.174353,0.002792,0.002612,0.002607,0.070207,0.001273,neutron,pi+,solid
230,11.0,0.187062,0.449495,0.524071,1.731601,0.292222,AUT,19141545.374303,0.003956,0.003259,0.003266,0.070207,0.001324,neutron,pi+,solid
231,11.0,0.241492,0.363701,0.524262,1.798189,0.290482,AUT,18195687.642033,0.002921,0.002993,0.002989,0.070207,0.001431,neutron,pi+,solid
232,11.0,0.072444,0.745637,0.523143,1.110926,0.511601,AUT,19151765.890818,0.002158,0.002128,0.002133,0.070207,0.001106,neutron,pi+,solid
233,11.0,0.085612,0.678674,0.523692,1.198803,0.501894,AUT,19007248.456917,0.002158,0.002155,0.002154,0.070207,0.001128,neutron,pi+,solid
234,11.0,0.095984,0.656747,0.523875,1.300884,0.498601,AUT,19350604.331080,0.002188,0.002179,0.002180,0.070207,0.001146,neutron,pi+,solid
235,11.0,0.106508,0.638920,0.523961,1.404374,0.495508,AUT,19021533.732002,0.002294,0.002257,0.002259,0.070207,0.001165,neutron,pi+,solid
236,11.0,0.117863,0.622293,0.524092,1.513673,0.493626,AUT,19056278.785036,0.002413,0.002341,0.002341,0.070207,0.001187,neutron,pi+,solid
237,11.0,0.130802,0.599041,0.524102,1.616557,0.491831,AUT,18970985.814145,0.002644,0.002489,0.002491,0.070207,0.001212,neutron,pi+,solid
