i,Ebeam,x,y,z,Q2,pT,obs,Nacc,stat_sivers,stat_collins,stat_pretzelosity,systrel,systabs,target,hadron,Experiment
502,11.0,0.287141,0.440496,0.672241,2.606413,0.119171,AUT,743281.061358,0.015321,0.015312,0.015298,0.070207,0.001583,neutron,pi+,solid
503,11.0,0.180466,0.609602,0.673982,2.254549,0.298571,AUT,1179116.618806,0.014329,0.012384,0.012391,0.070207,0.001352,neutron,pi+,solid
504,11.0,0.230504,0.528680,0.674498,2.509405,0.271889,AUT,831867.739170,0.014087,0.013708,0.013739,0.070207,0.001464,neutron,pi+,solid
505,11.0,0.283222,0.448406,0.672117,2.615194,0.253788,AUT,431649.383427,0.021003,0.020603,0.020530,0.070207,0.001575,neutron,pi+,solid
506,11.0,0.168975,0.646985,0.674201,2.245050,0.488519,AUT,677458.432135,0.036031,0.025220,0.025323,0.070207,0.001327,neutron,pi+,solid
507,11.0,0.215370,0.605535,0.675268,2.689654,0.464420,AUT,190078.051037,0.048195,0.038899,0.039054,0.070207,0.001435,neutron,pi+,solid
508,11.0,0.314327,0.432014,0.664246,2.803598,0.404684,AUT,32.735007,673.692329,550.366161,140.818908,0.070207,0.001640,neutron,pi+,solid
509,11.0,0.163421,0.670990,0.674218,2.247380,0.684208,AUT,271940.382918,0.038259,0.029483,0.029731,0.070207,0.001314,neutron,pi+,solid
510,11.0,0.248846,0.541177,0.661354,2.779135,0.767309,AUT,954.875580,0.529896,1.586142,1.598815,0.070207,0.001502,neutron,pi+,solid
511,11.0,0.170910,0.650729,0.671500,2.272619,0.944515,AUT,293485.930734,0.024776,0.025894,0.025502,0.070207,0.001330,neutron,pi+,solid
512,11.0,0.248467,0.629586,0.323599,3.226223,0.120503,AUT,807575.150268,0.013233,0.013135,0.013111,0.070207,0.001409,neutron,pi+,solid
513,11.0,0.270049,0.605985,0.323943,3.377615,0.113690,AUT,783271.180215,0.013669,0.013609,0.013635,0.070207,0.001448,neutron,pi+,solid
514,11.0,0.284372,0.591066,0.324086,3.469096,0.108090,AUT,783875.412028,0.013872,0.013848,0.013844,0.070207,0.001473,neutron,pi+,solid
515,11.0,0.297890,0.562859,0.324271,3.460294,0.100020,AUT,702161.394806,0.014888,0.014865,0.014851,0.070207,0.001496,neutron,pi+,solid
516,11.0,0.312425,0.529989,0.324310,3.417066,0.091242,AUT,641720.421102,0.015797,0.015795,0.015824,0.070207,0.001521,neutron,pi+,solid
517,11.0,0.328518,0.500414,0.324524,3.392733,0.086580,AUT,609124.534784,0.016539,0.016568,0.016545,0.070207,0.001549,neutron,pi+,solid
518,11.0,0.346412,0.478536,0.324554,3.421240,0.088621,AUT,597103.721629,0.017161,0.017160,0.017114,0.070207,0.001580,neutron,pi+,solid
519,11.0,0.366665,0.458719,0.324555,3.471080,0.096645,AUT,614511.543995,0.017877,0.017605,0.017614,0.070207,0.001617,neutron,pi+,solid
520,11.0,0.392237,0.433098,0.324210,3.505057,0.109871,AUT,639046.021903,0.020704,0.019049,0.019141,0.070207,0.001666,neutron,pi+,solid
521,11.0,0.427778,0.414433,0.323904,3.658575,0.124740,AUT,431522.155177,0.036238,0.029273,0.029602,0.070207,0.001742,neutron,pi+,solid
522,11.0,0.241608,0.662588,0.324326,3.303629,0.284464,AUT,577981.126168,0.015979,0.015659,0.015600,0.070207,0.001397,neutron,pi+,solid
523,11.0,0.263011,0.658434,0.324250,3.574657,0.285750,AUT,521449.958979,0.018724,0.017612,0.017565,0.070207,0.001436,neutron,pi+,solid
524,11.0,0.277498,0.655710,0.324180,3.755892,0.287184,AUT,524004.039613,0.020412,0.018587,0.018571,0.070207,0.001462,neutron,pi+,solid
525,11.0,0.290641,0.643035,0.324193,3.857240,0.286294,AUT,419607.414386,0.025707,0.022350,0.022370,0.070207,0.001485,neutron,pi+,solid
526,11.0,0.306004,0.616357,0.324041,3.892328,0.288092,AUT,190297.234418,0.050401,0.039889,0.039756,0.070207,0.001511,neutron,pi+,solid
527,11.0,0.323982,0.576736,0.322439,3.855152,0.300026,AUT,43169.506518,0.114068,0.090904,0.089326,0.070207,0.001542,neutron,pi+,solid
528,11.0,0.349109,0.463845,0.318547,3.339989,0.332847,AUT,7521.927633,0.168974,0.193173,0.191117,0.070207,0.001582,neutron,pi+,solid
529,11.0,0.375406,0.422716,0.327679,3.274678,0.267055,AUT,14059.023822,0.270233,0.205015,0.206951,0.070207,0.001634,neutron,pi+,solid
530,11.0,0.403728,0.405604,0.329964,3.379810,0.232910,AUT,36516.439904,0.290593,0.182854,0.187281,0.070207,0.001692,neutron,pi+,solid
531,11.0,0.438931,0.407370,0.329373,3.691137,0.221451,AUT,37193.930216,0.506766,0.286416,0.302239,0.070207,0.001770,neutron,pi+,solid
